,precision,recall,f1-score,support
Insufficient_Weight,0.8461538461538461,0.8301886792452831,0.8380952380952381,53.0
Normal_Weight,0.6923076923076923,0.7894736842105263,0.7377049180327869,57.0
Obesity_Type_I,0.6888888888888889,0.8857142857142857,0.775,70.0
Obesity_Type_II,0.8823529411764706,1.0,0.9375,60.0
Obesity_Type_III,1.0,0.9538461538461539,0.9763779527559056,65.0
Overweight_Level_I,0.6097560975609756,0.45454545454545453,0.5208333333333334,55.0
Overweight_Level_II,0.8,0.5517241379310345,0.6530612244897959,58.0
accuracy,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.7894736842105263
macro avg,0.7884942094411247,0.7807846279275339,0.7769389523867228,418.0
weighted avg,0.7904489865223838,0.7894736842105263,0.7821918163392149,418.0
